name,ab_hours,ab_minutes,audiobook_length_(minutes),author,author_gender,completed_record,cost,count_complete,created_time,dashboard_stats_link,fanfic,finished,format,genre,genre_link,goodreads_link,id,lgbt,last_edited,narrator_(old),narrators,poc_author?,page_count,physical_copy_owned,publisher,rating,reread,series,source,spice,status,trope,word_count,ya
Night Shift,,,0,Annie Crown,Female,Yes,$17.99,1,"November 7, 2023 1:51 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 7, 2023",Ebook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/199020721-night-shift?from_search=true&from_srp=true&qid=68YbFJeWXX&rank=3,LIB-598,NO,"July 17, 2024 8:36 PM",,,NO,283.0,NO,,5.5,NO,,Library Genesis,🌶🌶,Complete,"Academia/School, Misunderstanding, Opposites Attract",75510.0,NO
Iron Flame (#2),28.0,16.0,1696,Rebecca Yarros,Female,Yes,$29.99,1,"November 8, 2023 8:51 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 8, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/en/book/show/90202302,LIB-599,NO,"October 16, 2025 1:58 PM","Rebecca Soler, Teddy Hamilton/Andrew Eiden","Rebecca Soler (https://www.notion.so/Rebecca-Soler-28e8d7a063c98049b845f6f96b5ee6d0?pvs=21), Teddy Hamilton / Andrew Eiden (https://www.notion.so/Teddy-Hamilton-Andrew-Eiden-28e8d7a063c9809faa32d9e9d549ac23?pvs=21)",NO,623.0,NO,Recorded Books Inc.,8.7,NO,The Empyrean,Libby,🌶🌶🌶,Complete,,251438.0,NO
A Court of Thorns and Roses (#1) [reread],16.0,7.0,967,Sarah J Maas,Female,Yes,,1,"November 12, 2023 9:47 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 12, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/54386622-a-court-of-thorns-and-roses,LIB-602,NO,"October 16, 2025 1:44 PM",Jennifer Ikeda,Jennifer Ikeda (https://www.notion.so/Jennifer-Ikeda-28e8d7a063c9802aace9ceb8654e6630?pvs=21),NO,433.0,,Recorded Books Inc.,7.3,YES,ACOTAR,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Forbidden Love",130015.0,NO
A Court of Mist and Fury (#2) [reread],23.0,16.0,1396,Sarah J Maas,Female,Yes,$19.00,1,"November 13, 2023 2:40 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 19, 2023","Audiobook, Ebook",Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/57019034-a-court-of-mist-and-fury,LIB-603,NO,"October 16, 2025 1:44 PM",Jennifer Ikeda,Jennifer Ikeda (https://www.notion.so/Jennifer-Ikeda-28e8d7a063c9802aace9ceb8654e6630?pvs=21),NO,641.0,,Recorded Books Inc.,9.2,YES,ACOTAR,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, One Bed",185503.0,NO
The Rabbit Hutch,11.0,53.0,713,Tess Gunty,Female,Yes,$17.00,1,"November 17, 2023 11:40 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 17, 2023","Audiobook, Ebook",Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/59576076-the-rabbit-hutch,LIB-604,NO,"October 16, 2025 1:50 PM","Kirby Heyborne, Kyla Garcia, Scott Brick, Suzanne Toren, Tess Gunty","Kyla Garcia (https://www.notion.so/Kyla-Garcia-28e8d7a063c9800596cccfffab67223d?pvs=21), Kirby Heyborne (https://www.notion.so/Kirby-Heyborne-28e8d7a063c980d3980df92ae5caa427?pvs=21), Suzanne Toren (https://www.notion.so/Suzanne-Toren-28e8d7a063c980a5b621e63263f6ad2f?pvs=21), Scott Brick (https://www.notion.so/Scott-Brick-28e8d7a063c980a7ae2ee5d50fb2ffbc?pvs=21), Tess Gunty (https://www.notion.so/Tess-Gunty-28e8d7a063c9800b9c22f4983c701e3c?pvs=21)",NO,352.0,NO,"Books on Tape, Random House Audio",7.6,NO,,"Libby, Library Genesis",❌,Complete,,104052.0,NO
A Court of Wings and Ruin (#3) [reread],25.0,9.0,1509,Sarah J Maas,Female,Yes,,1,"November 21, 2023 10:41 AM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 20, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin?ac=1&from_search=true&qid=kNKYyZvdjF&rank=1,LIB-605,NO,"October 16, 2025 1:43 PM",Jennifer Ikeda,Jennifer Ikeda (https://www.notion.so/Jennifer-Ikeda-28e8d7a063c9802aace9ceb8654e6630?pvs=21),NO,705.0,,Recorded Books Inc.,8.3,YES,ACOTAR,Libby,🌶,Complete,Opposites Attract,199355.0,NO
A Court of Silver Flames (#4),26.0,5.0,1565,Sarah J Maas,Female,Yes,$19.00,1,"November 21, 2023 9:56 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 23, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames?from_search=true&from_srp=true&qid=JnG3Z5au3c&rank=1,LIB-606,NO,"October 16, 2025 2:02 PM",Stina Nielsen,Stina Nielsen (https://www.notion.so/Stina-Nielsen-28e8d7a063c980709c6bc7b17ad43442?pvs=21),NO,757.0,NO,Recorded Books Inc.,7.2,NO,ACOTAR,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Forced Proximity/Shared Goal",211065.0,NO
A Court of Frost and Starlight (#3.5),6.0,23.0,383,Sarah J Maas,Female,Yes,$14.99,1,"November 23, 2023 10:12 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 21, 2023",Audiobook,Romantasy,Romantasy (https://www.notion.so/Romantasy-2318d7a063c980508251ea15ed24302f?pvs=21),https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,LIB-607,NO,"October 16, 2025 10:20 AM",Amanda Leigh Cobb,Amanda Leigh Cobb (https://www.notion.so/Amanda-Leigh-Cobb-28e8d7a063c980f59c9febbb8dce1236?pvs=21),NO,272.0,NO,Recorded Books Inc.,7.7,NO,ACOTAR,Libby,🌶🌶,Complete,,64183.0,NO
The Statistical Probability of Love at First Sight,5.0,17.0,317,Jennifer E. Smith,Female,Yes,$11.99,1,"November 24, 2023 5:28 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 24, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/10798416-the-statistical-probability-of-love-at-first-sight?from_search=true&from_srp=true&qid=2O9IT23q1c&rank=1,LIB-608,NO,"October 16, 2025 10:43 AM",Casey Holloway,Casey Holloway (https://www.notion.so/Casey-Holloway-28e8d7a063c9807ca008c6fb45c68bfe?pvs=21),NO,236.0,NO,"Hachette Audio, Little Brown Young Readers",6.4,NO,,Libby,❌,Complete,Love at first sight,52525.0,YES
Check & Mate,9.0,31.0,571,Ali Hazelwood,Female,Yes,$12.60,1,"November 24, 2023 9:01 PM",Completed 2023 (https://www.notion.so/Completed-2023-b35f5008f68348b897443b23f5fa99bb?pvs=21),NO,"November 25, 2023",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/60683957-check-mate?from_search=true&from_srp=true&qid=VvDCL63yQE&rank=1,LIB-609,NO,"October 16, 2025 1:47 PM",Karissa Vacker,Karissa Vacker (https://www.notion.so/Karissa-Vacker-28e8d7a063c980679010d481103f0d3f?pvs=21),NO,368.0,NO,"Books on Tape, Listening Library",8.4,NO,,Libby,🌶,Complete,"Enemies/Rivals to Lovers, Rich Boyfriend, Third Act Breakup",87722.0,YES
