name,ab_hours,ab_minutes,audiobook_length_(minutes),author,author_gender,completed_record,cost,count_complete,created_time,dashboard_stats_link,fanfic,finished,format,genre,genre_link,goodreads_link,id,lgbt,last_edited,narrator_(old),narrators,poc_author?,page_count,physical_copy_owned,publisher,rating,reread,series,source,spice,status,trope,word_count,ya
Something to Talk About,9.0,7.0,547,Meryl Wilsner,Female,Yes,$16.00,1,"January 19, 2021 9:25 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"February 14, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/45892636-something-to-talk-about,LIB-4,YES,"October 16, 2025 1:45 PM","Jorjeana Marie, Xe Sands","Jorjeana Marie (https://www.notion.so/Jorjeana-Marie-28e8d7a063c98083a072d0b77e8cda29?pvs=21), Xe Sands (https://www.notion.so/Xe-Sands-28e8d7a063c980d08848c65bd1bca848?pvs=21)",NO,366.0,NO,"Books on Tape, Penguin Audio",8.5,NO,,Libby,🌶🌶,Complete,"Coworkers/Workplace, Power Dynamic",86181.0,NO
"Red, White & Royal Blue",12.0,15.0,735,Casey McQuiston,Female,Yes,$16.99,1,"January 22, 2021 11:29 PM","Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"January 3, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/41150487-red-white-royal-blue,LIB-7,YES,"October 16, 2025 1:57 PM",Ramon de Ocampo,Ramon de Ocampo (https://www.notion.so/Ramon-de-Ocampo-28e8d7a063c980dfa17edfe960095c6e?pvs=21),NO,421.0,YES,Macmillan Audio,9.7,YES,,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Fake Relationship",111331.0,NO
Majesty (#2),12.0,39.0,759,Katharine McGee,Female,Yes,$12.99,1,"January 22, 2021 11:32 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 9, 2021",Audiobook,Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/51518972-majesty,LIB-8,NO,"October 16, 2025 10:24 AM",Brittany Pressley,Brittany Pressley (https://www.notion.so/Brittany-Pressley-28e8d7a063c980cb82b9c794b7f89e03?pvs=21),NO,374.0,NO,"Books on Tape, Listening Library",7.0,NO,American Royals,Libby,❌,Complete,,103543.0,NO
This Time Next Year,10.0,29.0,629,Sophie Cousens,Female,Yes,$17.00,1,"January 22, 2021 11:34 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 10, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/48656130-this-time-next-year?ac=1&from_search=true&qid=3obReftrZS&rank=1,LIB-9,NO,"October 16, 2025 1:41 PM",Hannah Arterton,Hannah Arterton (https://www.notion.so/Hannah-Arterton-28e8d7a063c98076b695d583220068ca?pvs=21),NO,352.0,NO,"Books on Tape, Penguin Audio",8.1,NO,,Libby,🌶🌶,Complete,Second Chance,112553.0,NO
Twice in a Blue Moon,8.0,29.0,509,Christina Lauren,Female,Yes,$17.99,1,"January 22, 2021 11:36 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 11, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/45186670-twice-in-a-blue-moon?ac=1&from_search=true&qid=24qwxnBExG&rank=1,LIB-10,NO,"October 16, 2025 1:40 PM",Erin Mallon,"Erin Mallon (https://www.notion.so/Erin-Mallon-28e8d7a063c980fb9a91da562b3fbada?pvs=21), Joe Arden (https://www.notion.so/Joe-Arden-28e8d7a063c9800088addbe0ec8d9bb3?pvs=21)",NO,358.0,NO,Simon & Schuster Audio,6.0,NO,,Libby,🌶🌶,Complete,Second Chance,85475.0,NO
The Wedding Party,,,0,Jasmine Guillory,,,$15.00,0,"January 22, 2021 11:37 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"May 30, 2021",Audiobook,Contemporary Romance,,https://www.goodreads.com/book/show/42455873-the-wedding-party,LIB-11,,"July 17, 2024 8:36 PM",,,,351.0,NO,,,,,Libby,,DNF,Enemies/Rivals to Lovers,,
The Invisible Life of Addie Larue ,17.0,10.0,1030,VE Schwab,Female,Yes,$19.99,1,"January 22, 2021 11:43 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 23, 2021","Audiobook, Ebook","Magical Realism, Romance","Romance (https://www.notion.so/Romance-a1f5cb3c60e24916a3adf803af4ad445?pvs=21), Magical Realism (https://www.notion.so/Magical-Realism-2318d7a063c980e98f20eb1e97bf4df7?pvs=21)",https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,LIB-12,NO,"October 16, 2025 1:46 PM",Julia Whelan,Julia Whelan (https://www.notion.so/Julia-Whelan-28e8d7a063c980f784c4fcafe38face3?pvs=21),NO,448.0,NO,Macmillan Audio,8.4,NO,,Libby,🌶,Complete,Forbidden Love,151096.0,NO
TikTok Recommendations,,,0,,,,,0,"January 22, 2021 11:44 PM",,,,,,,,LIB-13,,"April 18, 2023 10:16 AM",,,,,,,,,,,,List,,,
Severance,9.0,54.0,594,Ling Ma,Female,Yes,$18.00,1,"January 23, 2021 10:01 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 23, 2021",Audiobook,Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/36348525-severance?ac=1&from_search=true&qid=jAsRPT6pMF&rank=1,LIB-15,NO,"October 16, 2025 1:55 PM",Nancy Wu,Nancy Wu (https://www.notion.so/Nancy-Wu-28e8d7a063c9809f9a50e6ddefbc007e?pvs=21),YES,291.0,NO,Macmillan Audio,6.8,NO,,Libby,❌,Complete,,85390.0,NO
Bringing Down the Duke,,,0,Evie Dunmore,Female,Yes,$14.99,1,"January 23, 2021 10:30 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"June 4, 2021",Ebook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/43521785-bringing-down-the-duke?ac=1&from_search=true&qid=E4SdyaeCOA&rank=1,LIB-16,NO,"July 17, 2024 8:36 PM",,,NO,368.0,NO,,6.5,NO,League of Extraordinary Women,Library Genesis,🌶🌶,Complete,"Enemies/Rivals to Lovers, Forbidden Love, Love at first sight",97728.0,NO
Pride and Prejudice ,12.0,30.0,750,Jane Austen,Female,Yes,$12.99,1,"January 26, 2021 10:27 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"January 24, 2021",Audiobook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?ac=1&from_search=true&qid=3r90mE0aqZ&rank=1,LIB-17,NO,"October 16, 2025 1:45 PM",Josephine Bailey,Bailey Carr (https://www.notion.so/Bailey-Carr-28e8d7a063c9805c9e4dd0e31db804ed?pvs=21),NO,279.0,NO,"Tantor Audio, Tantor Media Inc",6.4,NO,,Libby,❌,Complete,"Enemies/Rivals to Lovers, Love at first sight",122189.0,NO
The Seven Husbands of Evelyn Hugo,12.0,10.0,730,Taylor Jenkins Reid,Female,Yes,$17.00,1,"January 27, 2021 12:11 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"February 25, 2021",Audiobook,"Lit Fiction, Romance","Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21), Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21)",https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo?ac=1&from_search=true&qid=EFgkxsIo3X&rank=2,LIB-18,YES,"October 16, 2025 10:20 AM","Alma Cuervo, Julia Whelan, Robin Miles","Alma Cuervo (https://www.notion.so/Alma-Cuervo-28e8d7a063c98063a081f4943a7b92a4?pvs=21), Robin Miles (https://www.notion.so/Robin-Miles-28e8d7a063c980b9b7afc57d02faea51?pvs=21), Julia Whelan (https://www.notion.so/Julia-Whelan-28e8d7a063c980f784c4fcafe38face3?pvs=21)",NO,391.0,NO,Simon & Schuster Audio,9.7,NO,,Libby,🌶,Complete,"Fake Relationship, Forbidden Love, Second Chance",112621.0,NO
Farenheit 451,5.0,1.0,301,Ray Bradbury,Male,Yes,$17.00,1,"January 29, 2021 2:22 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"February 2, 2021",Audiobook,Lit Fiction,Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21),https://www.goodreads.com/book/show/13079982-fahrenheit-451?ac=1&from_search=true&qid=ioVYugL4zY&rank=1,LIB-19,NO,"October 16, 2025 2:03 PM",Tim Robbins,Tim Paige (https://www.notion.so/Tim-Paige-28e8d7a063c980d09958e1faf2e9b853?pvs=21),NO,194.0,NO,ListenUp Audiobooks,5.0,NO,,Libby,❌,Complete,,47110.0,NO
Tweet Cute ,10.0,8.0,608,Emma Lord,Female,Yes,$12.00,1,"March 6, 2021 11:21 AM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"February 28, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/45045129-tweet-cute?from_search=true&from_srp=true&qid=b1UuYAELJS&rank=1,LIB-22,NO,"October 16, 2025 10:48 AM","Dan Bittner, Emily Shaffer","Dan Bittner (https://www.notion.so/Dan-Bittner-28e8d7a063c980708d0bf8066289e58c?pvs=21), Emily Shaffer (https://www.notion.so/Emily-Shaffer-28e8d7a063c9800cacf5d7b7b6b598a5?pvs=21)",NO,368.0,NO,Macmillan Audio,7.6,NO,,Libby,🌶,Complete,Enemies/Rivals to Lovers,94119.0,YES
They Both Die at the End ,,,0,Adam Silvera,Male,Yes,$15.99,1,"March 18, 2021 5:05 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"March 18, 2021",Ebook,"Contemporary Romance, Science Fiction","Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21), Science Fiction (https://www.notion.so/Science-Fiction-a1b4c800b6d5438e999b8c1d3c577f22?pvs=21)",https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,LIB-23,YES,"July 17, 2024 8:36 PM",,,YES,389.0,NO,,7.3,NO,,Libby,🌶,Complete,"Forbidden Love, Strangers to Lovers",73622.0,YES
Last Night at the Telegraph Club ,12.0,26.0,746,Malinda Lo,Female,Yes,$11.99,1,"March 18, 2021 5:11 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"March 29, 2021",Audiobook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/35224992-last-night-at-the-telegraph-club?from_search=true&from_srp=true&qid=7EXtdLmhKW&rank=1,LIB-25,YES,"October 16, 2025 1:39 PM",Emily Woo Zeller,Emily Woo Zeller (https://www.notion.so/Emily-Woo-Zeller-28e8d7a063c9800cab66f15c2724996a?pvs=21),YES,416.0,NO,"Books on Tape, Listening Library",7.5,NO,,Libby,🌶🌶,Complete,Forbidden Love,110075.0,YES
The Worst Best Man,10.0,1.0,601,Mia Sosa,Female,Yes,$16.99,1,"March 24, 2021 9:00 PM","Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21), Rereads (https://www.notion.so/Rereads-4ce64269181543abb2a1d2bf1369527d?pvs=21)",NO,"March 24, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/43801254-the-worst-best-man?from_search=true&from_srp=true&qid=SR8cweJiJu&rank=1,LIB-26,NO,"October 16, 2025 1:58 PM","Rebecca Mozo, Wayne Mitchell","Rebecca Mozo (https://www.notion.so/Rebecca-Mozo-28e8d7a063c9805d82c4edfea629e764?pvs=21), Wayne Mitchell (https://www.notion.so/Wayne-Mitchell-28e8d7a063c980368125f59692d8b6cb?pvs=21)",YES,368.0,NO,HarperAudio,7.5,YES,,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Fake Relationship, Forced Proximity/Shared Goal, One Bed",87962.0,NO
The Midnight Library,8.0,50.0,530,Matt Haig,Male,Yes,$18.00,1,"March 30, 2021 8:28 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"June 9, 2021",Audiobook,"Fantasy, Lit Fiction","Fiction (https://www.notion.so/Fiction-0a764563bc2f4fc3a2f85e84430360a9?pvs=21), Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21)",https://www.goodreads.com/book/show/52578297-the-midnight-library?from_search=true&from_srp=true&qid=lPP7KO7E1X&rank=1,LIB-31,NO,"October 16, 2025 10:43 AM",Carey Mulligan,Carey Mulligan (https://www.notion.so/Carey-Mulligan-28e8d7a063c9800980b7c4564708071d?pvs=21),NO,288.0,NO,"Books on Tape, Penguin Audio",7.6,NO,,Libby,❌,Complete,,75152.0,NO
Crazy Rich Asians (#1),13.0,53.0,833,Kevin Kwan,Male,Yes,$18.00,1,"April 3, 2021 12:19 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"April 2, 2021",Audiobook,Romance,Romance (https://www.notion.so/Romance-a1f5cb3c60e24916a3adf803af4ad445?pvs=21),https://www.goodreads.com/book/show/16085481-crazy-rich-asians?ac=1&from_search=true&qid=cboc6dOm4f&rank=1,LIB-32,NO,"October 16, 2025 1:53 PM",Lynn Chen,Lynn Chen (https://www.notion.so/Lynn-Chen-28e8d7a063c98029bb99cd146d7ae089?pvs=21),YES,403.0,NO,"Books on Tape, Random House Audio",8.1,NO,Crazy Rich Asians,Libby,🌶,Complete,"Rich Boyfriend, Third Act Breakup",135219.0,NO
China Rich Girlfriend (#2),,,0,Kevin Kwan,,,$16.95,0,"April 3, 2021 12:22 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"April 3, 2021",Audiobook,Lit Fiction,,,LIB-33,,"July 17, 2024 8:38 PM",,,,378.0,NO,,,,Crazy Rich Asians,Libby,,DNF,,,
The Right Swipe (#1),10.0,13.0,613,Alisha Rai,Female,Yes,$14.99,1,"April 17, 2021 12:36 AM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"April 20, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/39863092-the-right-swipe,LIB-34,NO,"October 16, 2025 2:02 PM","Brian Pallino, Summer Morton","Summer Morton (https://www.notion.so/Summer-Morton-28e8d7a063c980c6bb18c233ce40d935?pvs=21), Brian Pallino (https://www.notion.so/Brian-Pallino-28e8d7a063c98044ad48c8052ed9cef9?pvs=21)",YES,387.0,NO,HarperAudio,7.8,NO,Modern Love,Libby,🌶🌶🌶🌶,Complete,"Enemies/Rivals to Lovers, Misunderstanding, One Night Stand",92809.0,NO
Boyfriend Material (#1),13.0,11.0,791,Alexis Hall,Female,Yes,$14.99,1,"April 23, 2021 8:21 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 19, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/50225678-boyfriend-material,LIB-35,YES,"October 16, 2025 1:44 PM",Joe Jameson,Joe Jameson (https://www.notion.so/Joe-Jameson-28e8d7a063c9801ca66dca02aa90067f?pvs=21),NO,427.0,NO,Dreamscape Media,7.2,NO,Boyfriend Material,Libby,🌶🌶,Complete,"Enemies/Rivals to Lovers, Fake Relationship",119432.0,NO
Song of Achilles,11.0,15.0,675,Madeline Miller,Female,Yes,$17.99,1,"April 23, 2021 8:24 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 26, 2021",Audiobook,Historical Romance,Historical Romance (https://www.notion.so/Historical-Romance-d352b36d2b9e47ab9b242bdfcca440a8?pvs=21),https://www.goodreads.com/book/show/11250317-the-song-of-achilles,LIB-36,YES,"October 16, 2025 1:40 PM",Frazer Douglas,Frazer Douglas (https://www.notion.so/Frazer-Douglas-28e8d7a063c980eb8d6ee75fad29ec60?pvs=21),NO,352.0,NO,HarperAudio,5.5,NO,,Libby,❌,Complete,"Forbidden Love, Friends to Lovers",101300.0,NO
Are We There Yet,,,0,Kathleen West,,,$17.00,0,"April 23, 2021 8:25 PM",DNF (https://www.notion.so/DNF-27e859d35ceb47ac9c08b31d22496b07?pvs=21),,"June 29, 2021",Audiobook,Lit Fiction,,,LIB-37,,"July 17, 2024 8:38 PM",,,,352.0,NO,,,,,Libby,,DNF,,,
Shadow and Bone (#1),,,0,Leigh Bardugo,Female,Yes,$10.99,1,"April 23, 2021 8:26 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"April 23, 2021",Ebook,Fantasy,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/10194157-shadow-and-bone,LIB-38,NO,"July 17, 2024 8:36 PM",,,NO,358.0,NO,,8.1,NO,Grishaverse,Library Genesis,❌,Complete,Love Triangle,81890.0,YES
Seige and Storm (#2),,,0,Leigh Bardugo,Female,Yes,$10.99,1,"May 2, 2021 12:52 AM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"April 28, 2021",Ebook,Fantasy,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/14061955-siege-and-storm?ac=1&from_search=true&qid=vPwD0fXhfc&rank=5,LIB-41,NO,"July 17, 2024 8:36 PM",,,NO,435.0,NO,,7.4,NO,Grishaverse,Library Genesis,❌,Complete,,99992.0,YES
Ruin and Rising (#3),,,0,Leigh Bardugo,Female,Yes,$10.99,1,"May 2, 2021 12:54 AM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"April 29, 2021",Ebook,Fantasy,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/14061957-ruin-and-rising,LIB-42,NO,"July 17, 2024 8:36 PM",,,NO,422.0,NO,,7.6,NO,Grishaverse,Library Genesis,❌,Complete,,95009.0,YES
Ninth House,16.0,21.0,981,Leigh Bardugo,Female,Yes,$18.99,1,"May 4, 2021 1:02 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 5, 2021",Audiobook,Magical Realism,Fantasy (https://www.notion.so/Fantasy-e989fb4da8814fdc952cb296717bae91?pvs=21),https://www.goodreads.com/book/show/43263680-ninth-house,LIB-43,NO,"October 16, 2025 1:50 PM","Lauren Fortgang, Michael David Axtell","Lauren Fortgang (https://www.notion.so/Lauren-Fortgang-28e8d7a063c98041a81ce4fff66e72ba?pvs=21), Michael David Axtell (https://www.notion.so/Michael-David-Axtell-28e8d7a063c980dfb2cad0aecf94e3b9?pvs=21)",NO,459.0,NO,Macmillan Audio,8.5,NO,,Libby,❌,Complete,,141324.0,NO
Girl Gone Viral (#2),9.0,55.0,595,Alisha Rai,Female,Yes,$15.99,1,"May 6, 2021 3:45 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 6, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/44148565-girl-gone-viral,LIB-44,NO,"October 16, 2025 2:02 PM","Brian Pallino, Summer Morton","Summer Morton (https://www.notion.so/Summer-Morton-28e8d7a063c980c6bb18c233ce40d935?pvs=21), Brian Pallino (https://www.notion.so/Brian-Pallino-28e8d7a063c98044ad48c8052ed9cef9?pvs=21)",YES,400.0,NO,HarperAudio,6.5,NO,Modern Love,Libby,🌶,Complete,"Coworkers/Workplace, Power Dynamic",91174.0,NO
An Absolutely Remarkable Thing,9.0,25.0,565,Hank Green,Male,Yes,$5.87,1,"May 12, 2021 9:51 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 12, 2021",Audiobook,Science Fiction,Science Fiction (https://www.notion.so/Science-Fiction-a1b4c800b6d5438e999b8c1d3c577f22?pvs=21),https://www.goodreads.com/book/show/24233708-an-absolutely-remarkable-thing?from_search=true&from_srp=true&qid=6GB28eTwUd&rank=1,LIB-45,YES,"October 16, 2025 1:50 PM","Hank Green, Kristen Sieh","Kristen Sieh (https://www.notion.so/Kristen-Sieh-28e8d7a063c980efaa14fb62c3e01d2a?pvs=21), Hank Green (https://www.notion.so/Hank-Green-28e8d7a063c9807ba76dc03c1fac2adf?pvs=21)",NO,343.0,YES,"Books on Tape, Penguin Audio",9.6,NO,The Carls,Libby,❌,Complete,,101112.0,NO
November 9,9.0,46.0,586,Colleen Hoover,Female,Yes,$16.99,1,"May 12, 2021 9:52 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 11, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/25111004-november-9?ac=1&from_search=true&qid=GouMdeBeJl&rank=1,LIB-46,NO,"October 16, 2025 2:05 PM","Angela Goethals, Zachary Webber/Jacob Morgan","Zachary Webber / Jacob Morgan (https://www.notion.so/Zachary-Webber-Jacob-Morgan-28e8d7a063c980088d65c5b3d4f3b250?pvs=21), Angela Goethals (https://www.notion.so/Angela-Goethals-28e8d7a063c9801b87a9e7f472fbdcfe?pvs=21)",NO,307.0,NO,Simon & Schuster Audio,6.7,NO,,Libby,🌶🌶🌶,Complete,Misunderstanding,90764.0,NO
First Comes Like (#3),11.0,11.0,671,Alisha Rai,Female,Yes,$13.99,1,"May 12, 2021 9:54 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 8, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/53441133-first-comes-like,LIB-47,NO,"October 16, 2025 1:59 PM","Neil Shah, Saira Ayers","Saira Ayers (https://www.notion.so/Saira-Ayers-28e8d7a063c98097b26ad6d91a954b80?pvs=21), Neil Shah (https://www.notion.so/Neil-Shah-28e8d7a063c980a498aefbe36d9a160e?pvs=21)",YES,432.0,NO,HarperAudio,4.5,NO,Modern Love,Libby,🌶,Complete,Fake Relationship,99573.0,NO
People We Meet on Vacation,10.0,46.0,646,Emily Henry,Female,Yes,$16.00,1,"May 12, 2021 10:17 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 26, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,LIB-48,NO,"October 16, 2025 1:46 PM",Julia Whelan,Julia Whelan (https://www.notion.so/Julia-Whelan-28e8d7a063c980f784c4fcafe38face3?pvs=21),NO,384.0,NO,Books on Tape,5.5,NO,,Libby,🌶🌶,Complete,"Friends to Lovers, Second Chance",103549.0,NO
The Ex Talk,10.0,52.0,652,Rachel Lynn Solomon,Female,Yes,$17.00,1,"May 13, 2021 12:06 AM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 13, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/53415121-the-ex-talk?ac=1&from_search=true&qid=128DFnDjp0&rank=2,LIB-49,NO,"October 16, 2025 1:39 PM",Emily Ellet,Emily Ellet (https://www.notion.so/Emily-Ellet-28e8d7a063c98032bb00c69d9cc9eb3f?pvs=21),NO,336.0,NO,"Books on Tape, Penguin Audio",6.7,NO,,Libby,🌶🌶🌶,Complete,"Coworkers/Workplace, Enemies/Rivals to Lovers, Fake Relationship",95483.0,NO
The Flatshare,9.0,58.0,598,Beth O'Leary,Female,Yes,$18.99,1,"May 16, 2021 10:20 PM",Completed 2021 (https://www.notion.so/Completed-2021-e7513a2ee4e249c790ce9654ec0dd222?pvs=21),NO,"May 16, 2021",Audiobook,Contemporary Romance,Contemporary Romance (https://www.notion.so/Contemporary-Romance-7f0e5b1615234bda8db1182075e2eae3?pvs=21),https://www.goodreads.com/book/show/36478784-the-flatshare?from_search=true&from_srp=true&qid=ay3XujK3mU&rank=1,LIB-50,NO,"October 16, 2025 10:43 AM","Carrie Hope Fletcher, Kwaku Fortune","Carrie Hope Fletcher (https://www.notion.so/Carrie-Hope-Fletcher-28e8d7a063c9800981a6cf04fb333001?pvs=21), Kwaku Fortune (https://www.notion.so/Kwaku-Fortune-28e8d7a063c980599397cf9cf8725d3a?pvs=21)",NO,394.0,NO,Macmillan Audio,6.5,NO,,Libby,🌶🌶,Complete,One Bed,103814.0,NO
